куассан	[(0, 7, 'B-TYPE')]
хлопьяов	[(0, 8, 'B-TYPE')]
рис круглозерный шлиф	[(0, 3, 'B-TYPE'), (4, 16, 'I-TYPE'), (17, 21, 'I-TYPE')]
в масл	[(0, 1, 'B-TYPE'), (2, 6, 'I-TYPE')]
крем	[(0, 4, 'B-TYPE')]
творожок к детский	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
econova та	[(0, 7, 'B-BRAND'), (8, 10, 'B-TYPE')]
воздуш	[(0, 6, 'B-TYPE')]
adrinaline	[(0, 10, 'B-BRAND')]
пекарь крекеры	[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
черкашин кабачки	[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
amore форели	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
кумин	[(0, 5, 'B-BRAND')]
повый	[(0, 5, 'O')]
curtis толстов	[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
ракообразные	[(0, 12, 'B-TYPE')]
бамбочка для ванны	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
skandic	[(0, 7, 'B-BRAND')]
банановый сок детский	[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE'), (14, 21, 'I-TYPE')]
моцаре	[(0, 6, 'B-TYPE')]
полотенце в рулоне	[(0, 9, 'B-TYPE'), (10, 11, 'O'), (12, 18, 'O')]
суп с чечевицей	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 15, 'O')]
грибы замороженны	[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]
сметанаа	[(0, 8, 'B-TYPE')]
журнал	[(0, 6, 'B-TYPE')]
дарэлл перенос	[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
итальянская	[(0, 11, 'B-TYPE')]
йогурт фруто	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
мротеин	[(0, 7, 'B-TYPE')]
творог зерненн	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
жевательнпя	[(0, 11, 'B-TYPE')]
hghnder	[(0, 7, 'O')]
перец чер	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
чытник	[(0, 6, 'B-TYPE')]
фрикадельки из курицы	[(0, 11, 'B-TYPE'), (12, 14, 'O'), (15, 21, 'O')]
конди	[(0, 5, 'B-BRAND')]
arko	[(0, 4, 'B-BRAND')]
желешки	[(0, 7, 'B-TYPE')]
колбаса яичная	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
бюстгальтер милави	[(0, 11, 'B-TYPE'), (12, 18, 'B-BRAND')]
зубочист	[(0, 8, 'B-TYPE')]
карбогад	[(0, 8, 'B-TYPE')]
маслоо	[(0, 6, 'B-TYPE')]
milanpo	[(0, 7, 'B-BRAND')]
фаршевы	[(0, 7, 'B-TYPE')]
стм оладь	[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')]
брускетт	[(0, 8, 'B-TYPE')]
кроышка	[(0, 7, 'B-TYPE')]
горцича	[(0, 7, 'B-TYPE')]
творожеи	[(0, 8, 'B-TYPE')]
шампьнионы	[(0, 10, 'B-TYPE')]
past	[(0, 4, 'O')]
термос	[(0, 6, 'B-BRAND')]
ванили парфэ	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
изюмх	[(0, 5, 'B-TYPE')]
перец молотый	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
крылыш	[(0, 6, 'B-TYPE')]
боклажан	[(0, 8, 'B-TYPE')]
порошок гель	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
медвеж	[(0, 6, 'B-TYPE')]
филейн	[(0, 6, 'B-TYPE')]
сгуженка	[(0, 8, 'B-TYPE')]
блины с творо	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
чесной	[(0, 6, 'B-TYPE')]
ог3рнц	[(0, 6, 'B-TYPE')]
mi dtsv	[(0, 2, 'O'), (3, 7, 'O')]
пакеты для смусора	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
поводком	[(0, 8, 'B-TYPE')]
зерниц	[(0, 6, 'B-TYPE')]
makf	[(0, 4, 'B-BRAND')]
палочки aur	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
тарел	[(0, 5, 'B-TYPE')]
губки для мы	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
apica	[(0, 5, 'B-BRAND')]
плед	[(0, 4, 'B-TYPE')]
энергти	[(0, 7, 'B-TYPE')]
копчено-запеченные	[(0, 18, 'B-TYPE')]
гурме имбирь	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
майлонез	[(0, 8, 'B-TYPE')]
морковь со спа	[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 14, 'O')]
сок томмтвода газированная	[(0, 3, 'B-TYPE'), (4, 13, 'O'), (14, 26, 'O')]
помидоиы	[(0, 8, 'B-TYPE')]
молочные конфеты	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
соус томатный	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
фетакс	[(0, 6, 'B-BRAND')]
нутел	[(0, 5, 'B-BRAND')]
ммолочный	[(0, 9, 'B-TYPE')]
сыр белебеевский классический	[(0, 3, 'B-TYPE'), (4, 16, 'B-BRAND'), (17, 29, 'I-BRAND')]
трубочки	[(0, 8, 'B-TYPE')]
круассн	[(0, 7, 'B-TYPE')]
perfect fit	[(0, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
привет водк	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
хлеп	[(0, 4, 'B-TYPE')]
маслины красная цена	[(0, 7, 'B-TYPE'), (8, 15, 'O'), (16, 20, 'B-TYPE')]
бритье	[(0, 6, 'B-TYPE')]
сирьак	[(0, 6, 'B-TYPE')]
соль маркет	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]
набор	[(0, 5, 'B-TYPE')]
шампанское ист	[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
колбача	[(0, 7, 'B-TYPE')]
полукопченые колбаски	[(0, 12, 'B-TYPE'), (13, 21, 'I-TYPE')]
кцкуруза	[(0, 8, 'B-TYPE')]
горчица махее	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
сочен	[(0, 5, 'B-TYPE')]
яитос	[(0, 5, 'B-TYPE')]
фрутмоттв	[(0, 9, 'B-TYPE')]
халва маа	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
приправа дл рыбы	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
кофе арабика	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
вода псыж	[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND')]
национальные продукты	[(0, 12, 'B-TYPE'), (13, 21, 'I-TYPE')]
пюре индейка	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
брокаоли	[(0, 8, 'B-TYPE')]
сыр хох	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
красха	[(0, 6, 'B-TYPE')]
далматово конфет	[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
баунти	[(0, 6, 'B-BRAND')]
delicados	[(0, 9, 'B-BRAND')]
натц	[(0, 4, 'B-TYPE')]
сэнвич	[(0, 6, 'B-TYPE')]
помидыры	[(0, 8, 'B-TYPE')]
суп с треской	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O')]
хьебцы	[(0, 6, 'B-TYPE')]
мороженлн	[(0, 9, 'B-TYPE')]
пилигримм	[(0, 9, 'B-BRAND')]
сосисики	[(0, 8, 'B-TYPE')]
индидай	[(0, 7, 'B-TYPE')]
грудинк	[(0, 7, 'B-TYPE')]
deonica твердый	[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
трни, грифели	[(0, 5, 'O'), (6, 13, 'O')]
сврнички	[(0, 8, 'B-TYPE')]
пинцеса	[(0, 7, 'O')]
томат global wila	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
крабобы	[(0, 7, 'B-TYPE')]
баклаан	[(0, 7, 'B-TYPE')]
безглютеновая	[(0, 13, 'B-TYPE')]
классический	[(0, 12, 'B-TYPE')]
артошкк	[(0, 7, 'B-TYPE')]
оунец	[(0, 5, 'B-TYPE')]
панировочна	[(0, 11, 'B-TYPE')]
тмин kamis	[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
морс спеленок	[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
антепеспирант	[(0, 13, 'B-TYPE')]
вкус & польза	[(0, 4, 'B-BRAND'), (5, 6, 'I-BRAND'), (7, 13, 'I-BRAND')]
мисо	[(0, 4, 'B-TYPE')]
сыекоа	[(0, 6, 'B-TYPE')]
огурцф	[(0, 6, 'B-TYPE')]
моещее для мтекол	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
zarech'e майонез	[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
expon	[(0, 5, 'B-BRAND')]
свеклава	[(0, 8, 'B-TYPE')]
лкпешки	[(0, 7, 'B-TYPE')]
переноски homep	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
шафр	[(0, 4, 'B-TYPE')]
докторскач	[(0, 10, 'B-TYPE')]
например люминелло	[(0, 8, 'O'), (9, 18, 'B-BRAND')]
каша жидка	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
дрип кофе	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
тортик pet	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
maltag	[(0, 6, 'B-TYPE')]
соус для мяса	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
щажарка	[(0, 7, 'B-TYPE')]
кемпинг	[(0, 7, 'B-TYPE')]
салаетки	[(0, 8, 'B-TYPE')]
гроздика	[(0, 8, 'B-TYPE')]
бальзам после бритья	[(0, 7, 'B-TYPE'), (8, 13, 'O'), (14, 20, 'O')]
фруктоза вкус&польз	[(0, 8, 'B-TYPE'), (9, 19, 'B-BRAND')]
блокнотов sma	[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]
авангард хлебц	[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
газиоованная	[(0, 12, 'B-TYPE')]
овяное	[(0, 6, 'B-TYPE')]
гигиеничские	[(0, 12, 'B-TYPE')]
logitrade сейчас	[(0, 9, 'B-BRAND'), (10, 16, 'O')]
майонезв	[(0, 8, 'B-TYPE')]
карри производств	[(0, 5, 'B-TYPE'), (6, 17, 'B-BRAND')]
жироудал	[(0, 8, 'B-TYPE')]
красная цена хрен	[(0, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 17, 'B-TYPE')]
открытки	[(0, 8, 'B-TYPE')]
копчёный	[(0, 8, 'B-TYPE')]
ореха	[(0, 5, 'B-TYPE')]
фрутка	[(0, 6, 'B-TYPE')]
макараоны	[(0, 9, 'B-TYPE')]
рисовые	[(0, 7, 'B-TYPE')]
готовое	[(0, 7, 'B-TYPE')]
картофеть	[(0, 9, 'B-TYPE')]
питьевые йогурты	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
nest	[(0, 4, 'B-BRAND')]
свкекла5	[(0, 8, 'B-TYPE')]
карнишёны	[(0, 9, 'B-TYPE')]
жидкость для мыть	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]
баг	[(0, 3, 'O')]
батончик конфеты	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
тумбы	[(0, 5, 'B-TYPE')]
ваенся	[(0, 6, 'O')]
maccofe	[(0, 7, 'B-BRAND')]
мороко	[(0, 6, 'B-TYPE')]
моркоавь	[(0, 8, 'B-TYPE')]
яшкино	[(0, 6, 'B-TYPE')]
мыр легкий	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
крабр	[(0, 5, 'B-TYPE')]
хотстеры с горчицей	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 19, 'O')]
капуску	[(0, 7, 'B-TYPE')]
salton стель	[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
виноград елочк	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
крышки prima	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
одноразовый станок	[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]
снедок	[(0, 6, 'B-TYPE')]
смесь овощей приправа	[(0, 5, 'B-TYPE'), (6, 12, 'O'), (13, 21, 'O')]
полукопченная колбаски	[(0, 13, 'B-TYPE'), (14, 22, 'I-TYPE')]
hortex облепихи	[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
бмй	[(0, 3, 'O')]
алейка	[(0, 6, 'B-BRAND')]
хлоб	[(0, 4, 'B-TYPE')]
очиститель накипи	[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE')]
агуша творог классический	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 25, 'I-TYPE')]
vici охлажденное	[(0, 4, 'B-BRAND'), (5, 16, 'B-TYPE')]
курица производств	[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]
туалетная бу	[(0, 9, 'B-TYPE'), (10, 12, 'I-TYPE')]
минераоьная	[(0, 11, 'B-TYPE')]
микс	[(0, 4, 'B-TYPE')]
одеколоны	[(0, 9, 'B-TYPE')]
маршмэлоу	[(0, 9, 'B-TYPE')]
laimonfresh	[(0, 11, 'B-BRAND')]
мармелалд	[(0, 9, 'B-TYPE')]
доброгост сало	[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]
кувшины, графи	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
ириски	[(0, 6, 'B-TYPE')]
асто абсе	[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
бальзамический соус	[(0, 14, 'B-TYPE'), (15, 19, 'I-TYPE')]
хлеб деревенский	[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]
питерский	[(0, 9, 'B-BRAND')]
солнеый	[(0, 7, 'B-TYPE')]
ломтиш	[(0, 6, 'B-TYPE')]
хрящ	[(0, 4, 'B-TYPE')]
кашка молочная	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
яйцае	[(0, 5, 'B-TYPE')]
спецые к рыбе	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
фрукмотив	[(0, 9, 'B-TYPE')]
вода питьев	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
хлпбцы	[(0, 6, 'B-TYPE')]
brit	[(0, 4, 'B-BRAND')]
огугцы	[(0, 6, 'B-TYPE')]
фарш из игде	[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 12, 'O')]
venetto	[(0, 7, 'B-BRAND')]
медвиа	[(0, 6, 'B-TYPE')]
губки для	[(0, 5, 'B-TYPE'), (6, 9, 'O')]
помидоы	[(0, 7, 'B-TYPE')]
жупиков сал	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
фруктовая сме	[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
стм картофе	[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]
стакане	[(0, 7, 'B-TYPE')]
коржей если	[(0, 6, 'B-TYPE'), (7, 11, 'O')]
горюуша	[(0, 7, 'B-TYPE')]
влажный корм для	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 16, 'O')]
каши йогуртовые	[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]
mers	[(0, 4, 'B-BRAND')]
сливочный сыр	[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
каравччо	[(0, 8, 'B-TYPE')]
каша рисовая	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
топинги	[(0, 7, 'B-TYPE')]
снкжный	[(0, 7, 'B-TYPE')]
кислота лимонн	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
пакетик	[(0, 7, 'B-TYPE')]
кукурузный хлеб	[(0, 10, 'B-TYPE'), (11, 15, 'I-TYPE')]
запеченное торе	[(0, 10, 'B-TYPE'), (11, 15, 'B-BRAND')]
bibo н	[(0, 4, 'B-BRAND'), (5, 6, 'B-TYPE')]
хаждеый	[(0, 7, 'O')]
макаррнв	[(0, 8, 'B-TYPE')]
затйнки	[(0, 7, 'O')]
миниралку	[(0, 9, 'B-TYPE')]
пантолет	[(0, 8, 'B-TYPE')]
marabu гигиеническая	[(0, 6, 'B-BRAND'), (7, 20, 'B-TYPE')]
моиоженое	[(0, 9, 'B-TYPE')]
яйо	[(0, 3, 'B-TYPE')]
ватные па	[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]
соевыйй	[(0, 7, 'B-TYPE')]
кружка	[(0, 6, 'B-TYPE')]
ariel без	[(0, 5, 'B-BRAND'), (6, 9, 'O')]
бородинсий	[(0, 10, 'B-TYPE')]
дримес	[(0, 6, 'B-BRAND')]
мацарелла	[(0, 9, 'B-BRAND')]
мооковка по корейски	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 20, 'O')]
chaka	[(0, 5, 'B-BRAND')]
диванные подушк	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
виноград белый	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
berel	[(0, 5, 'O')]
прочие готовые	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
оле	[(0, 3, 'O')]
уксусе	[(0, 6, 'B-TYPE')]
шампиньонов	[(0, 11, 'B-TYPE')]
пластилин clipstudi	[(0, 9, 'B-TYPE'), (10, 19, 'B-BRAND')]
чистящее для унитаза	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
проклдки	[(0, 8, 'B-TYPE')]
обувь	[(0, 5, 'B-TYPE')]
наклейки для унитаза	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
огуртс	[(0, 6, 'B-TYPE')]
кастр	[(0, 5, 'B-TYPE')]
молочнасмесь	[(0, 12, 'O')]
кашка на ночь	[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 13, 'O')]
туалетная бумага акция	[(0, 9, 'B-TYPE'), (10, 16, 'O'), (17, 22, 'O')]
вемол смета	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
улитка	[(0, 6, 'B-TYPE')]
переноска titbi	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
сухармки	[(0, 8, 'B-TYPE')]
rost томат	[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
перец приправа	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
зувочистки	[(0, 10, 'B-TYPE')]
фереро	[(0, 6, 'B-BRAND')]
молокуша	[(0, 8, 'B-TYPE')]
чпй с бергамотом	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 16, 'O')]
пудинги здрайверы	[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]
цыконий	[(0, 7, 'B-TYPE')]
компоты чу	[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
aktime	[(0, 6, 'B-BRAND')]
нагетсый	[(0, 8, 'B-TYPE')]
семечки от мартина	[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
конфет	[(0, 6, 'B-TYPE')]
вилка	[(0, 5, 'B-TYPE')]
компот фрутоня	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
цезарь соус	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
сырокц	[(0, 6, 'B-TYPE')]
печеньн	[(0, 7, 'B-TYPE')]
колбаса варе	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
бакалея	[(0, 7, 'B-TYPE')]
лисття	[(0, 6, 'B-TYPE')]
круанте	[(0, 7, 'B-TYPE')]
свинина охлажденная	[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
приправа для гри	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 16, 'O')]
энергктики	[(0, 10, 'B-TYPE')]
бклочки	[(0, 7, 'B-TYPE')]
энергт	[(0, 6, 'B-TYPE')]
ацетон	[(0, 6, 'B-TYPE')]
матье	[(0, 5, 'B-BRAND')]
свкечи	[(0, 6, 'B-TYPE')]
смесь нутрилак комфорт	[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND'), (15, 22, 'I-BRAND')]
круглетсы	[(0, 9, 'B-TYPE')]
вв баран	[(0, 2, 'B-BRAND'), (3, 8, 'B-TYPE')]
порошки	[(0, 7, 'B-TYPE')]
детска	[(0, 6, 'B-TYPE')]
малоешка	[(0, 8, 'B-TYPE')]
ricona	[(0, 6, 'B-BRAND')]
мороженоье	[(0, 10, 'B-TYPE')]
томати	[(0, 6, 'B-TYPE')]
маслянная	[(0, 9, 'B-TYPE')]
соломка соленая	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
бублик сибхле	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
одноращовые	[(0, 11, 'B-TYPE')]
тысаозер	[(0, 8, 'O')]
лён	[(0, 3, 'B-TYPE')]
листья нори	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
аперитив	[(0, 8, 'B-TYPE')]
семена льна	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
енергетику	[(0, 10, 'B-TYPE')]
пена для бритя	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
cgoco	[(0, 5, 'B-BRAND')]
йгурты	[(0, 6, 'B-TYPE')]
рамен	[(0, 5, 'B-TYPE')]
ддрожди	[(0, 7, 'B-TYPE')]
поми	[(0, 4, 'B-TYPE')]
сыр сметанковый	[(0, 3, 'B-TYPE'), (4, 15, 'I-TYPE')]
фруктовые консерв	[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
панировочные	[(0, 12, 'B-TYPE')]
вода черноголовка питьевая	[(0, 4, 'B-TYPE'), (5, 17, 'B-BRAND'), (18, 26, 'I-BRAND')]
средство для ванн	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]
мушмул	[(0, 6, 'B-TYPE')]
детское мыло горит	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 18, 'O')]
яброки	[(0, 6, 'B-TYPE')]
гусиный	[(0, 7, 'B-TYPE')]
сыр плавленый грибной	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE'), (14, 21, 'I-TYPE')]
пемолбк	[(0, 7, 'B-TYPE')]
разофхлитель	[(0, 12, 'B-TYPE')]
гранулаг	[(0, 8, 'B-TYPE')]
сахарг	[(0, 6, 'B-TYPE')]
тунцом	[(0, 6, 'B-TYPE')]
кабачкоая	[(0, 9, 'B-TYPE')]
пельмени рефтинские	[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]
крышка madern	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
сахар тр	[(0, 5, 'B-TYPE'), (6, 8, 'I-TYPE')]
энергетки	[(0, 9, 'B-TYPE')]
шампиьон	[(0, 8, 'B-TYPE')]
petra пахлав	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
макарлеы	[(0, 8, 'B-TYPE')]
airw	[(0, 4, 'B-BRAND')]
специального посол	[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]
индейка мясная ферма	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND'), (15, 20, 'I-BRAND')]
бурсника	[(0, 8, 'B-TYPE')]
керьешки	[(0, 8, 'B-TYPE')]
льнное	[(0, 6, 'B-TYPE')]
monin сир	[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
лосьон garnie	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
запеченные амара	[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
дезодор	[(0, 7, 'B-TYPE')]
русие колбсы	[(0, 5, 'O'), (6, 12, 'O')]
сулугунья	[(0, 9, 'B-TYPE')]
наваг	[(0, 5, 'B-TYPE')]
пищевых плен	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
пельмени татарские	[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
эссе	[(0, 4, 'B-TYPE')]
бонаны	[(0, 6, 'B-TYPE')]
маршемеллоу	[(0, 11, 'B-TYPE')]
паэл	[(0, 4, 'B-TYPE')]
domestios	[(0, 9, 'B-BRAND')]
смородйна	[(0, 9, 'B-TYPE')]
рублевский зель	[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]
хлебф	[(0, 5, 'B-TYPE')]
горошек lutik	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
ремит сыровяленые	[(0, 5, 'B-BRAND'), (6, 17, 'B-TYPE')]
морожни	[(0, 7, 'B-TYPE')]
сиф	[(0, 3, 'B-TYPE')]
ультрарастеризованное	[(0, 21, 'B-TYPE')]
пюре фруктовое с печеньем	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE'), (15, 16, 'O'), (17, 25, 'O')]
макаароны	[(0, 9, 'B-TYPE')]
стиральный порош	[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]
papstar н	[(0, 7, 'B-BRAND'), (8, 9, 'B-TYPE')]
семян	[(0, 5, 'B-TYPE')]
купусту	[(0, 7, 'B-TYPE')]
посуда одноразовая	[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]
салат смесь	[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
сухариуи	[(0, 8, 'B-TYPE')]
булка городская	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
шшоколад	[(0, 8, 'B-TYPE')]
белый хлеб	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
ветчина casademont	[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]
сахаращаменитель	[(0, 16, 'B-TYPE')]
карамкль	[(0, 8, 'B-TYPE')]
напиток кисломолочный	[(0, 7, 'B-TYPE'), (8, 21, 'I-TYPE')]
видеоигр	[(0, 8, 'B-TYPE')]
пельмени с маслом	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
гудми	[(0, 5, 'B-BRAND')]
гель для чтируи	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
мечта смета	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
печеники	[(0, 8, 'B-TYPE')]
куртца	[(0, 6, 'B-TYPE')]
твоног	[(0, 6, 'B-TYPE')]
коробк	[(0, 6, 'B-TYPE')]
шашык	[(0, 5, 'B-TYPE')]
халопенья	[(0, 9, 'B-TYPE')]
горчица kam	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
кремобоно	[(0, 9, 'B-TYPE')]
тавр шп	[(0, 4, 'B-BRAND'), (5, 7, 'B-TYPE')]
зелерь	[(0, 6, 'B-TYPE')]
жевательные конфеты	[(0, 11, 'B-TYPE'), (12, 19, 'I-TYPE')]
сдоба зерниц	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
заморонны	[(0, 9, 'O')]
сливочная	[(0, 9, 'B-TYPE')]
тазы хаусман	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
кислая	[(0, 6, 'B-TYPE')]
сдоба с кори	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 12, 'O')]
